file_name,wer_librispeech_whisper,wer_librispeech_wav2vec,wer_libristutter_whisper,wer_libristutter_wav2vec
198-209-0000,0.08888888888888889,0.0425531914893617,0.043478260869565216,0.0425531914893617
198-209-0001,0.046511627906976744,0.0,0.06976744186046512,0.0
198-209-0002,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744
198-209-0003,0.06,0.04081632653061224,0.04081632653061224,0.04081632653061224
198-209-0004,0.02,0.02,0.02,0.20967741935483872
198-209-0005,0.08695652173913043,0.0,0.08695652173913043,0.08
198-209-0006,0.02127659574468085,0.0,0.02127659574468085,0.04081632653061224
198-209-0007,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.08
198-209-0008,0.13636363636363635,0.022727272727272728,0.11363636363636363,0.022727272727272728
198-209-0009,0.0,0.0,0.0,0.0
198-209-0010,0.061224489795918366,0.0,0.06,0.0
198-209-0011,0.045454545454545456,0.0,0.045454545454545456,0.08333333333333333
198-209-0012,0.022222222222222223,0.0,0.022222222222222223,0.0
198-209-0013,0.0,0.0,0.0,0.0
198-209-0014,0.06451612903225806,0.0,0.16666666666666666,0.0
198-209-0015,0.02,0.0,0.07547169811320754,0.057692307692307696
198-209-0016,0.0,0.0,0.0,0.09090909090909091
198-209-0017,0.0,0.0,0.0,0.0
198-209-0018,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.07547169811320754
198-209-0019,0.09090909090909091,0.0,0.23076923076923078,0.1794871794871795
198-209-0020,0.1875,0.0,0.24528301886792453,0.08163265306122448
198-209-0021,0.13793103448275862,0.0,0.19047619047619047,0.1044776119402985
198-209-0022,0.10204081632653061,0.0,0.25925925925925924,0.22950819672131148
198-209-0023,0.03636363636363636,0.01818181818181818,0.13333333333333333,0.1
198-209-0024,0.03571428571428571,0.0,0.03571428571428571,0.0
198-209-0025,0.0,0.0,0.0967741935483871,0.0967741935483871
198-209-0026,0.06976744186046512,0.023255813953488372,0.06976744186046512,0.023255813953488372
198-209-0027,0.05128205128205128,0.0,0.14285714285714285,0.1875
198-209-0028,0.05357142857142857,0.03571428571428571,0.16666666666666666,0.12903225806451613
198-209-0029,0.023809523809523808,0.0,0.2857142857142857,0.2631578947368421
198-209-0030,0.0,0.0,0.0,0.0
198-209-0031,0.0,0.0,0.0,0.0
198-209-0032,0.058823529411764705,0.0,0.058823529411764705,0.0
198-209-0033,0.0,0.0,0.17391304347826086,0.09090909090909091
198-209-0034,0.02,0.0,0.10714285714285714,0.20967741935483872
198-209-0035,0.07692307692307693,0.0,0.2391304347826087,0.21568627450980393
198-209-0036,0.046875,0.09230769230769231,0.09375,0.07692307692307693
198-209-0037,0.08771929824561403,0.0,0.10714285714285714,0.06666666666666667
198-209-0038,0.0,0.0,0.29411764705882354,0.2631578947368421
198-126831-0000,0.14583333333333334,0.10416666666666667,0.14583333333333334,0.10416666666666667
198-126831-0001,0.07894736842105263,0.05263157894736842,0.10810810810810811,0.15384615384615385
198-126831-0002,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.08108108108108109
198-126831-0003,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
198-126831-0004,0.17073170731707318,0.047619047619047616,0.17073170731707318,0.047619047619047616
198-126831-0005,0.11904761904761904,0.046511627906976744,0.14285714285714285,0.17777777777777778
198-126831-0006,0.16666666666666666,0.02702702702702703,0.16666666666666666,0.02702702702702703
198-126831-0007,0.09375,0.03125,0.2926829268292683,0.21951219512195122
198-126831-0008,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.041666666666666664
198-126831-0009,0.1111111111111111,0.0425531914893617,0.2727272727272727,0.22807017543859648
198-126831-0010,0.16129032258064516,0.03333333333333333,0.16129032258064516,0.21621621621621623
198-126831-0011,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555
198-126831-0012,0.19047619047619047,0.024390243902439025,0.13333333333333333,0.09090909090909091
198-126831-0013,0.0,0.0,0.03225806451612903,0.0625
198-126831-0014,0.05128205128205128,0.0,0.21739130434782608,0.11363636363636363
198-126831-0015,0.06382978723404255,0.0,0.0425531914893617,0.0
198-126831-0016,0.08695652173913043,0.0,0.08695652173913043,0.30303030303030304
198-126831-0017,0.07142857142857142,0.023809523809523808,0.0975609756097561,0.09090909090909091
198-126831-0018,0.14814814814814814,0.037037037037037035,0.3013698630136986,0.2676056338028169
