,file_name,gt_transcriptions,total_stutter
0,8975-270782-0114.csv,he had no more idea that he did love her then whiteside would have had yet he knew he spoke the truth and that a power greater than he had frame the words and put them on his lips the effect on the girl seemed extraordinary to him,0
1,8975-270782-0113.csv,stutter was tongue-tied for a second because i love you he said in his voice shook it did not stutter seem to him that he was talkin the stutter words came of their own volition he had no more intention of telling her he loved her indeed,9
2,8975-270782-0112.csv,laying his hand on his stutter why don't you tell me tell you what she asked without stutter looking up tell me all there is to be told he said i could help you i want stutter help you she looked up at him,14
3,8975-270782-0111.csv,she held out her hand stutter and he hasn't ate it after all he had no right stutter title to this curious purse he compromised by putting it on stutter the table and she did not attempt to take it o dad he said gently and walked around to her,13
4,8975-270782-0110.csv,i saw you using your lamp and i was quite close to you when you picked up the wallet she said listlessly but i was not on the bicycle who was it he asked she shook her head may i have that please,0
5,8975-270782-0109.csv,she looked up at his words i on the stutter bicycle she has no it was not i stutter you she shook her head i was in the ground,8
6,8975-270782-0108.csv,it struck him at that moment that it was not an offense for odette rider to go up to her mother's house on a bicycle or even to take away a wallet which was probably hers if there was any crime at all,0
7,8975-270782-0107.csv,she drew a chair to the table stutter and drop your face upon her hands and stutter he stood by embarrassed almost terrified by this unexpected development so you were the visitor on the bicycle he said it last i didn't suspect,6
8,8975-270782-0106.csv,she shook her head oh i'm not heard stutter she said we are lie,2
9,8975-270782-0105.csv,you he said again and walk towards her stutter held out his hand and she gave him the wallet without a word stutter sit down he said kindly he thought she was going to faint i hope i stutter didn't hurt you i haven't the slightest idea,11
10,8975-270782-0104.csv,the confession of odette rider he stutter could only gays and stupefied silence you he stutter said wonderingly the girl was pale and her eyes never left his face she stutter nodded yes it is i she said in a low voice,9
11,8975-270782-0103.csv,"this little fish bears a striking stutter to the shrimp but it's neither so, nor so small",5
12,8975-270782-0087.csv,seasonable from april to stutter sufficient for 8 persons oyster soup,5
13,8975-270782-0004.csv,she saw him slip a $20 bill into her handbag with her stutter ticket that bill she said should have aroused your suspicions at once but did not the trains are never called little junction towns everybody knows when they come in,3
